competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,popular
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,1
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,1
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,1
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,0
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,1
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,0
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,0
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,1
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,1
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,0
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,1
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,1
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,1
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,0
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,0
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,0
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,1
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,0
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,0
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,0
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,0
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,0
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,0
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0
